,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,100,20,10,21.419994348100648,34.37998454510658,0.7544867423239188,14.041609153767562,24.189553989512724,0.8784599763881549
1,50,100,20,10,21.6255334023872,34.00982952846014,0.7597449611700464,13.776692130043871,24.013750400277925,0.8802202012174979
2,100,100,20,10,21.2591089670541,33.66194743011846,0.7646348980835534,13.75752864059438,24.007949289982477,0.880278065722841
3,200,100,20,10,21.402222959446032,33.674329938249464,0.764461708678781,13.717976835880188,23.980260620227106,0.8805540601011224
