,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,50,20,1.0,31.572054009260146,41.68388644075313,0.6390890964287387,29.267210914518852,37.974056376187306,0.7004718967857779
1,10,50,20,10.0,21.439009036450383,34.315173063220165,0.7554115292267414,14.618937787409733,24.631205602227045,0.8739813178984392
2,10,50,20,20.0,21.34049641422688,34.28305636793672,0.7558691517088125,14.556257252688244,24.60627485981373,0.8742362911531522
3,10,50,20,,21.37291533244719,34.27633378194981,0.7559648858633777,14.556491133696005,24.60537370834772,0.8742455026307911
