,Tg,Tg_pred,model_id,Tm,Tm_pred,model,Tg_MAE,Tm_MAE
0,101.0,87.76712647905325,0,,,RF_nopm,13.232873520946754,
1,101.0,87.76712647905325,0,,,RF_nopm,13.232873520946754,
2,101.0,87.76712647905325,0,,,RF_nopm,13.232873520946754,
3,101.0,87.76712647905325,0,,,RF_nopm,13.232873520946754,
4,101.0,87.76712647905325,0,,,RF_nopm,13.232873520946754,
5,87.85,6.578547825502426,0,,,RF_nopm,81.27145217449757,
6,87.85,6.578547825502426,0,,,RF_nopm,81.27145217449757,
7,87.85,6.578547825502426,0,,,RF_nopm,81.27145217449757,
8,87.85,6.578547825502426,0,,,RF_nopm,81.27145217449757,
9,87.85,6.578547825502426,0,,,RF_nopm,81.27145217449757,
10,126.0,122.96153383766367,0,,,RF_nopm,3.0384661623363343,
11,126.0,122.96153383766367,0,,,RF_nopm,3.0384661623363343,
12,126.0,122.96153383766367,0,,,RF_nopm,3.0384661623363343,
13,126.0,122.96153383766367,0,,,RF_nopm,3.0384661623363343,
14,126.0,122.96153383766367,0,,,RF_nopm,3.0384661623363343,
15,145.0,127.86139684601012,0,,,RF_nopm,17.138603153989877,
16,145.0,127.86139684601012,0,,,RF_nopm,17.138603153989877,
17,145.0,127.86139684601012,0,,,RF_nopm,17.138603153989877,
18,145.0,127.86139684601012,0,,,RF_nopm,17.138603153989877,
19,145.0,127.86139684601012,0,,,RF_nopm,17.138603153989877,
20,94.0,127.86139684601012,0,,,RF_nopm,33.86139684601012,
21,94.0,127.86139684601012,0,,,RF_nopm,33.86139684601012,
22,94.0,127.86139684601012,0,,,RF_nopm,33.86139684601012,
23,94.0,127.86139684601012,0,,,RF_nopm,33.86139684601012,
24,94.0,127.86139684601012,0,,,RF_nopm,33.86139684601012,
25,110.0,127.86139684601012,0,,,RF_nopm,17.861396846010123,
26,110.0,127.86139684601012,0,,,RF_nopm,17.861396846010123,
27,110.0,127.86139684601012,0,,,RF_nopm,17.861396846010123,
28,110.0,127.86139684601012,0,,,RF_nopm,17.861396846010123,
29,110.0,127.86139684601012,0,,,RF_nopm,17.861396846010123,
30,102.0,75.82137576198004,0,,,RF_nopm,26.178624238019964,
31,102.0,75.82137576198004,0,,,RF_nopm,26.178624238019964,
32,102.0,75.82137576198004,0,,,RF_nopm,26.178624238019964,
33,102.0,75.82137576198004,0,,,RF_nopm,26.178624238019964,
34,102.0,75.82137576198004,0,,,RF_nopm,26.178624238019964,
35,92.4,89.53858885019521,0,,,RF_nopm,2.8614111498047947,
36,92.4,89.08429534417562,0,,,RF_nopm,3.3157046558243906,
37,92.4,89.53858885019521,0,,,RF_nopm,2.8614111498047947,
38,92.4,88.76214961105052,0,,,RF_nopm,3.637850388949488,
39,92.4,89.53858885019521,0,,,RF_nopm,2.8614111498047947,
40,122.0,107.71597008546652,0,,,RF_nopm,14.284029914533477,
41,122.0,107.71597008546652,0,,,RF_nopm,14.284029914533477,
42,122.0,107.71597008546652,0,,,RF_nopm,14.284029914533477,
43,122.0,107.71597008546652,0,,,RF_nopm,14.284029914533477,
44,122.0,107.71597008546652,0,,,RF_nopm,14.284029914533477,
45,9.850000000000001,8.667559828842158,0,,,RF_nopm,1.1824401711578432,
46,9.850000000000001,8.667559828842158,0,,,RF_nopm,1.1824401711578432,
47,9.850000000000001,8.667559828842158,0,,,RF_nopm,1.1824401711578432,
48,9.850000000000001,8.667559828842158,0,,,RF_nopm,1.1824401711578432,
49,9.850000000000001,8.667559828842158,0,,,RF_nopm,1.1824401711578432,
50,40.0,46.18976352505161,0,,,RF_nopm,6.18976352505161,
51,40.0,46.18976352505161,0,,,RF_nopm,6.18976352505161,
52,40.0,46.18976352505161,0,,,RF_nopm,6.18976352505161,
53,40.0,46.18976352505161,0,,,RF_nopm,6.18976352505161,
54,40.0,46.18976352505161,0,,,RF_nopm,6.18976352505161,
55,36.0,46.18976352505161,0,,,RF_nopm,10.18976352505161,
56,36.0,46.18976352505161,0,,,RF_nopm,10.18976352505161,
57,36.0,46.18976352505161,0,,,RF_nopm,10.18976352505161,
58,36.0,46.18976352505161,0,,,RF_nopm,10.18976352505161,
59,36.0,46.18976352505161,0,,,RF_nopm,10.18976352505161,
60,-22.150000000000006,-19.648920517264827,0,,,RF_nopm,2.5010794827351788,
61,-22.150000000000006,-19.648920517264827,0,,,RF_nopm,2.5010794827351788,
62,-22.150000000000006,-19.648920517264827,0,,,RF_nopm,2.5010794827351788,
63,-22.150000000000006,-19.648920517264827,0,,,RF_nopm,2.5010794827351788,
64,-22.150000000000006,-19.648920517264827,0,,,RF_nopm,2.5010794827351788,
65,11.850000000000001,19.107593708770587,0,,,RF_nopm,7.257593708770585,
66,11.850000000000001,19.107593708770587,0,,,RF_nopm,7.257593708770585,
67,11.850000000000001,19.107593708770587,0,,,RF_nopm,7.257593708770585,
68,11.850000000000001,19.107593708770587,0,,,RF_nopm,7.257593708770585,
69,11.850000000000001,19.107593708770587,0,,,RF_nopm,7.257593708770585,
70,-17.0,-13.482616248444529,0,,,RF_nopm,3.517383751555471,
71,-17.0,-12.64967202514292,0,,,RF_nopm,4.3503279748570804,
72,-17.0,-12.64967202514292,0,,,RF_nopm,4.3503279748570804,
73,-17.0,-13.482616248444529,0,,,RF_nopm,3.517383751555471,
74,-17.0,-12.70621229005748,0,,,RF_nopm,4.293787709942521,
75,-42.0,-36.53409458239716,0,,,RF_nopm,5.4659054176028405,
76,-42.0,-36.53409458239716,0,,,RF_nopm,5.4659054176028405,
