,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,200,1,5,11.458407616189398,21.956274592923062,0.8395077563174942,7.1371139275953706,14.415890229207703,0.9308137686531536
1,10,200,5,5,11.569165243560482,22.0151947361228,0.8386452316724511,7.162758765381921,14.419670892713263,0.9307774747920041
2,10,200,10,5,11.586840127083878,22.096383462651215,0.8374529329824987,7.206516082445013,14.423559711591553,0.9307401327244806
3,10,200,20,5,11.410613582251438,21.49293004210042,0.8462100373162929,7.343603243014249,14.441087974517833,0.9305716940242752
