,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,200,20,5,11.36894606950406,21.394231995261414,0.8476192372318121,7.343580408544098,14.441087320157914,0.9305717003161972
1,50,200,20,5,11.287617186705486,21.888944298867308,0.8404905661554691,7.203281416454976,14.423134374041426,0.9307442174842072
2,100,200,20,5,10.748124052577412,20.52649929117701,0.8597294439749487,7.109191869200173,14.270963726679543,0.9321978686747522
3,200,200,20,5,10.892436773748383,20.7044360147244,0.8572869948999864,7.083805479405143,14.264696291750218,0.9322574094516487
