,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,100,20,10,13.651897893952075,27.1042874193765,0.8474052532725624,4.202563858210394,8.860940918471131,0.9836911523267813
1,50,100,20,10,14.027317562754227,27.233171464262362,0.8459505913302018,3.9551125139051844,8.024449802756969,0.9866249897356826
2,100,100,20,10,13.574986543418822,26.606539411555516,0.8529583464813737,3.853422402332537,7.857229045062321,0.9871766226753098
3,200,100,20,10,13.72525727730981,26.46517187091055,0.8545167373289477,3.8598630249134755,7.872780894390011,0.9871258096992602
