Tm,Tm_pred,Tg,Tg_pred,model_id,model
212.0,192.19101,,33.723915,0,MPNN_RBF_dblPm
212.0,192.19064,,33.72117,0,MPNN_RBF_dblPm
207.0,186.89867,,34.255466,0,MPNN_RBF_dblPm
207.0,186.9041,,34.261948,0,MPNN_RBF_dblPm
207.0,186.9041,,34.261948,0,MPNN_RBF_dblPm
207.0,186.89867,,34.25547,0,MPNN_RBF_dblPm
207.0,186.89362,,34.252712,0,MPNN_RBF_dblPm
,205.38416,37.9,56.53884,0,MPNN_RBF_dblPm
,205.42479,37.9,56.561382,0,MPNN_RBF_dblPm
,205.46107,37.9,56.641594,0,MPNN_RBF_dblPm
,205.38414,37.9,56.538853,0,MPNN_RBF_dblPm
,205.42485,37.9,56.5614,0,MPNN_RBF_dblPm
170.0,171.55725,,47.743305,0,MPNN_RBF_dblPm
170.0,171.18246,,47.748817,0,MPNN_RBF_dblPm
170.0,171.81639,,47.695538,0,MPNN_RBF_dblPm
170.0,171.4552,,47.65852,0,MPNN_RBF_dblPm
170.0,171.63162,,47.72086,0,MPNN_RBF_dblPm
210.0,204.96028,,61.16777,0,MPNN_RBF_dblPm
210.0,204.96028,,61.16777,0,MPNN_RBF_dblPm
210.0,206.56276,,61.115673,0,MPNN_RBF_dblPm
210.0,206.56276,,61.115677,0,MPNN_RBF_dblPm
210.0,206.56276,,61.115673,0,MPNN_RBF_dblPm
,168.96762,52.0,55.529316,0,MPNN_RBF_dblPm
,175.55902,52.0,57.94491,0,MPNN_RBF_dblPm
,168.96762,52.0,55.529324,0,MPNN_RBF_dblPm
,168.96762,52.0,55.529316,0,MPNN_RBF_dblPm
,168.96762,52.0,55.529324,0,MPNN_RBF_dblPm
133.0,145.27708,3.0,3.2778099,0,MPNN_RBF_dblPm
133.0,145.23189,3.0,3.3751347,0,MPNN_RBF_dblPm
133.0,144.97768,3.0,3.442578,0,MPNN_RBF_dblPm
133.0,145.31857,3.0,3.3541367,0,MPNN_RBF_dblPm
133.0,145.51822,3.0,3.306708,0,MPNN_RBF_dblPm
164.0,169.46301,,7.5201263,0,MPNN_RBF_dblPm
172.0,169.46301,,7.5201254,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872046,0,MPNN_RBF_dblPm
164.0,169.87326,,7.8872037,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872056,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872037,0,MPNN_RBF_dblPm
164.0,169.46301,,7.5201263,0,MPNN_RBF_dblPm
172.0,169.87326,,7.887203,0,MPNN_RBF_dblPm
172.0,169.46301,,7.5201263,0,MPNN_RBF_dblPm
164.0,169.46301,,7.5201254,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872046,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872037,0,MPNN_RBF_dblPm
164.0,169.46301,,7.5201263,0,MPNN_RBF_dblPm
172.0,169.87326,,7.8872046,0,MPNN_RBF_dblPm
172.0,169.46301,,7.5201263,0,MPNN_RBF_dblPm
,131.46565,78.0,61.092842,0,MPNN_RBF_dblPm
,132.10646,78.0,61.179447,0,MPNN_RBF_dblPm
,131.27434,78.0,61.06267,0,MPNN_RBF_dblPm
,132.35011,78.0,61.22272,0,MPNN_RBF_dblPm
,131.34764,78.0,61.08304,0,MPNN_RBF_dblPm
