,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,50,1,10,22.5902495743091,36.539884454803094,0.7226693087788216,13.343721263594022,23.814866394631917,0.8821960389472061
1,10,50,5,10,22.446704690055537,35.732895897870634,0.7347838154556069,13.651019633421047,23.95298771185364,0.880825598910423
2,10,50,10,10,21.786039408866266,35.35518781747884,0.7403610213526766,13.972639950568801,24.18586117940788,0.8784970824851481
3,10,50,20,10,21.440468614769923,34.34492193554368,0.7549872629600942,14.61890027228517,24.631311485798367,0.8739802344486878
0,10,50,30,10,21.875763907658886,34.23517329689081,0.7565506295277193,15.374740031352044,25.12999720513211,0.8688257845829241
1,10,50,40,10,22.04524791047148,34.216069899426714,0.7568222456510836,15.944501363617562,25.58692121440874,0.8640122906217721
