,model,model_id,variable,value
102,MPNN_mn_exists,2,Tg_RMSE,11.35760062948122
103,MPNN_mn_exists,3,Tg_RMSE,27.841474174515334
104,MPNN_mn_exists,4,Tg_RMSE,11.125379372280806
105,MPNN_mn_exists,5,Tg_RMSE,13.943246877130068
106,MPNN_mn_exists,6,Tg_RMSE,12.299073022990052
107,MPNN_mn_exists,7,Tg_RMSE,8.032371691597971
108,MPNN_mn_exists,8,Tg_RMSE,15.37398218745408
109,MPNN_mn_exists,9,Tg_RMSE,24.58174328933999
110,MPNN_no_chiral,0,Tg_RMSE,16.55309914088296
111,MPNN_no_chiral,1,Tg_RMSE,29.13671403531122
112,MPNN_no_chiral,2,Tg_RMSE,15.15872209842807
113,MPNN_no_chiral,3,Tg_RMSE,22.26339192843093
114,MPNN_no_chiral,4,Tg_RMSE,12.378067142378818
115,MPNN_no_chiral,5,Tg_RMSE,22.5510492020016
116,MPNN_no_chiral,6,Tg_RMSE,19.957491441864384
117,MPNN_no_chiral,7,Tg_RMSE,13.03330255230309
118,MPNN_no_chiral,8,Tg_RMSE,24.973322610826653
119,MPNN_no_chiral,9,Tg_RMSE,14.870891661698682
