,Model,model_id,Tg_MAE,Tg_RMSE,Tm_MAE,Tm_RMSE
0,MPNN_RBF_dblPm,0,6.500331465333333,11.32433010845998,18.047881561904763,45.706297503852674
1,MPNN_RBF_dblPm,1,4.2893934187500005,8.789343667633032,12.262341093333335,27.851246346973923
2,MPNN_RBF_dblPm,2,7.302426990799999,11.275505923760365,22.70670361666667,47.89149313378843
3,MPNN_RBF_dblPm,3,6.134794061,8.160081021850404,11.780256735714287,24.71243346673957
4,MPNN_RBF_dblPm,4,10.472107357948717,24.424294842635806,10.494987121739129,20.03982974029764
5,MPNN_RBF_dblPm,5,7.188401391984616,12.242266951482806,10.807026819999997,16.44008829186429
6,MPNN_RBF_dblPm,6,7.368108611783783,16.986557708132747,8.969381929032258,13.849963242223982
7,MPNN_RBF_dblPm,7,7.171983857142858,10.524023623592234,9.821422399999998,14.203347617823974
8,MPNN_RBF_dblPm,8,6.466720390243902,12.927871814217458,11.338483437499999,24.12325760190486
9,MPNN_RBF_dblPm,9,3.4770358027317076,5.086761425538159,5.5038452909090925,10.073631221527299
10,MPNN_ctag,0,7.247654889111111,16.158878423278903,22.280873244117647,36.32559861756485
11,MPNN_ctag,1,8.831161575209757,17.975306742069087,14.016627113333334,26.410470471366775
12,MPNN_ctag,2,6.88449165,10.572287238625657,11.005036407692309,25.26577466242252
13,MPNN_ctag,3,9.445760656524591,20.413311413524028,19.873655232258066,43.23822600484633
14,MPNN_ctag,4,5.993743333,10.301977143330484,13.017281838709676,22.715893708616207
15,MPNN_ctag,5,8.374486625600001,15.182989517645593,8.441377120000002,13.231366100582846
16,MPNN_ctag,6,5.875943430952382,12.028563564688318,10.1246723,17.39813238223156
17,MPNN_ctag,7,6.186131446848781,8.813846427152216,15.257217816216217,26.472420984877306
18,MPNN_ctag,8,9.542007578947368,17.145274117433353,14.238857266666669,25.87315112868716
19,MPNN_ctag,9,7.482168166498213,12.668292499906004,12.261719836842104,22.84334954625473
20,MPNN_global_pm,0,6.494137895925926,12.51181997189165,14.124822488235294,22.63791075377784
21,MPNN_global_pm,1,8.770299871756096,18.88545234324268,12.941472846666665,24.188700163764732
22,MPNN_global_pm,2,6.27327404,9.529895849842415,14.91181119153846,33.892658693567704
23,MPNN_global_pm,3,10.51320038262295,23.252788783043357,19.863166045161293,47.105491139835365
24,MPNN_global_pm,4,6.597135513,10.893865570517999,12.682348954838707,26.909516884528774
25,MPNN_global_pm,5,9.768078000800001,16.013158630389544,7.243072342857147,12.677916375153702
26,MPNN_global_pm,6,7.596698556666667,13.519088242448486,12.573901866666667,23.912987957301233
27,MPNN_global_pm,7,6.219255722878049,8.996926846967261,12.373781627027027,22.24266722
28,MPNN_global_pm,8,10.403921436842102,19.397280844526136,10.9157709,20.801290301746413
29,MPNN_global_pm,9,11.017706514307145,23.054795448378698,10.24667632631579,22.078044739286646
30,MPNN_global_pm_mn_data,0,5.9463634600000015,11.947344796842227,13.71124594,38.131699346625155
31,MPNN_global_pm_mn_data,1,7.761371282923077,14.031813213405993,12.101791406666667,23.860421244748107
32,MPNN_global_pm_mn_data,2,6.1284203844878045,14.983781214704322,5.907746963636365,9.028863927
33,MPNN_global_pm_mn_data,3,6.736444050909091,15.143120129600474,8.884736026666666,15.01324573588263
34,MPNN_global_pm_mn_data,4,10.820126748294118,21.109680073054808,9.013238416,16.773179813168944
35,MPNN_global_pm_mn_data,5,8.823361925641025,16.92541218220566,12.676030006896553,23.29225508221853
36,MPNN_global_pm_mn_data,6,10.20820835768421,22.65066947,9.743273909,15.060602447631917
37,MPNN_global_pm_mn_data,7,7.334463905499999,14.283893670759817,14.2759714,39.06574490199478
38,MPNN_global_pm_mn_data,8,7.560920529,16.11680496739962,6.262289668750001,10.659972886777068
39,MPNN_global_pm_mn_data,9,7.681283418,14.526253384388276,16.621398753846155,32.869596622343416
40,MPNN_global_pm_no_ctag,0,8.741311394592593,19.80316919010759,15.93384303529412,28.946254522651493
41,MPNN_global_pm_no_ctag,1,8.784576125,18.227526409341564,12.914414200000001,24.88254183100317
42,MPNN_global_pm_no_ctag,2,6.465927754545455,9.795416971283444,12.49898757230769,24.952576156670464
43,MPNN_global_pm_no_ctag,3,9.895117548852458,21.448173312285842,18.375604129032258,45.71347562610224
44,MPNN_global_pm_no_ctag,4,6.3742774343600015,11.119597912443465,11.058995425806453,25.560251009337282
45,MPNN_global_pm_no_ctag,5,7.848811907720001,12.59897537228976,7.77549836,14.639260401503408
46,MPNN_global_pm_no_ctag,6,6.496198826666668,12.656706544895888,8.889872099999998,14.867327663791013
47,MPNN_global_pm_no_ctag,7,6.958279699609756,10.38199501223761,12.269393124324326,22.41412058620208
48,MPNN_global_pm_no_ctag,8,9.604166510526316,16.131910565863244,12.361827083333335,22.65198485
49,MPNN_global_pm_no_ctag,9,10.352927549973215,20.78320118,13.00729220526316,29.672164359313843
50,MPNN_mn_exist_random,0,5.485737636666667,10.317308068094187,13.644595994117646,23.40652370417251
51,MPNN_mn_exist_random,1,11.251346620536586,21.585328879248948,12.603421006666668,21.353343490742787
52,MPNN_mn_exist_random,2,6.771303655,10.784710473274384,12.46078156923077,30.58322449914822
53,MPNN_mn_exist_random,3,11.80909021672131,27.962405779506316,17.199230432258066,41.89272954035329
54,MPNN_mn_exist_random,4,6.064791523,9.716007939543706,13.195474251612904,24.856837752546166
55,MPNN_mn_exist_random,5,8.249399423,14.085801433566575,7.901107629,14.567332036245633
56,MPNN_mn_exist_random,6,7.321752055714286,14.120628588919576,10.969553395833335,22.722936496523836
57,MPNN_mn_exist_random,7,6.611702995365854,10.342470711844468,13.567965848648646,24.45111719057049
58,MPNN_mn_exist_random,8,9.958777305263157,16.72012328357157,10.353973449999996,18.582409151378723
59,MPNN_mn_exist_random,9,10.957416175728572,22.377629017506564,11.28292767894737,23.61943853526296
60,MPNN_mn_exists,0,7.105245832133334,13.22406258748137,14.724746258823528,23.714702716752242
61,MPNN_mn_exists,1,9.421855084,20.113531969904795,11.847780106666665,19.43620423317793
62,MPNN_mn_exists,2,6.811398006363636,11.35760062948122,9.850001718461538,24.300414595710187
63,MPNN_mn_exists,3,12.23172787,27.841474174515323,16.731369387096773,41.38012919
64,MPNN_mn_exists,4,6.868499375359999,11.125379372280815,11.528149051612903,25.45251036842327
65,MPNN_mn_exists,5,8.361256562,13.943246877130058,6.160911205714287,10.574195741492666
66,MPNN_mn_exists,6,6.6844499680952385,12.299073022990052,5.631132133333335,8.531371452089603
67,MPNN_mn_exists,7,5.633528251897561,8.032371692,11.22969909189189,20.665213156418517
68,MPNN_mn_exists,8,9.140826607894736,15.373982187454082,10.216073805555554,18.24776473099641
69,MPNN_mn_exists,9,10.380109710785717,24.581743289340004,10.591847536842105,18.30626966417926
70,MPNN_no_chiral,0,9.549925355555555,16.553099140882935,19.041649482352938,28.257283427076924
71,MPNN_no_chiral,1,16.692911661853657,29.136714035311233,24.203439133333333,40.45958311
72,MPNN_no_chiral,2,8.916281257272729,15.158722098428079,28.12674559230769,47.21597027187549
73,MPNN_no_chiral,3,10.765262120983607,22.263391928430934,19.00805739354839,43.27211760703157
74,MPNN_no_chiral,4,7.03103366,12.378067142378807,27.284549619354838,42.94098966331213
75,MPNN_no_chiral,5,12.466635632400001,22.5510492,21.438884462857143,33.489076500707164
76,MPNN_no_chiral,6,10.223944022380955,19.957491441864384,8.519663875,11.065335404153467
77,MPNN_no_chiral,7,7.282991705365853,13.033302552303102,26.557757216216217,38.14690125692523
78,MPNN_no_chiral,8,12.823346122105264,24.97332261082667,18.241891288888887,28.658464236897807
79,MPNN_no_chiral,9,8.465870625785715,14.870891661698685,19.408489073684212,33.60038632400465
80,MPNN_random_pm,0,7.3444129149999995,13.874814715763101,16.690423347058825,27.858719787385017
81,MPNN_random_pm,1,8.374058341658536,17.360363633852373,16.791591933333333,30.763249639573566
82,MPNN_random_pm,2,6.5049960549999994,10.032343002282595,11.376169569230768,25.853585740443908
83,MPNN_random_pm,3,10.524758763442623,22.16628685070557,19.028465012903226,42.59249387729188
84,MPNN_random_pm,4,5.877478802,9.892691395913616,13.736514083870967,23.960081465817087
85,MPNN_random_pm,5,8.3024778,14.304348848798808,9.632737257142859,14.778437555049036
86,MPNN_random_pm,6,7.841650687142856,14.74218949870909,14.171153716666664,23.73885932777764
87,MPNN_random_pm,7,6.8491658234146335,9.344214316972685,16.80885711351351,27.60925606348716
88,MPNN_random_pm,8,8.64431155,15.627728535576502,15.05999573888889,26.162833259677818
89,MPNN_random_pm,9,7.847687020053572,13.276877066691235,12.155016215789471,19.475374672499775
0,Ada_no_pm,0,12.943978319244108,18.494620527965594,19.347662561870308,24.13484680027591
1,Ada_no_pm,1,11.565433347582614,15.62993368657278,35.43746722,42.16547761215254
2,Ada_no_pm,2,16.285437639748995,24.95205211956756,26.740624775481013,47.62219830534945
3,Ada_no_pm,3,15.888504978043118,22.51736971225781,28.569927738261498,35.37378847126092
4,Ada_no_pm,4,20.441278117918284,30.11793781411293,34.78316837950755,45.05031424766518
5,Ada_no_pm,5,15.683089229165104,21.046845820937396,37.707745005883794,49.23644081966454
6,Ada_no_pm,6,17.71829904116229,25.57697801005989,33.66115552,40.41802604204688
7,Ada_no_pm,7,17.41158979960419,25.30832441401671,31.848033445619063,38.707434135597445
8,Ada_no_pm,8,15.341212718635337,20.199661502822405,25.625606267269777,33.712356604343356
9,Ada_no_pm,9,12.55620818396613,18.00206850140587,28.828504474936256,37.86918002434276
10,Ada_pm,0,15.18982366459131,21.013930790963272,22.319387861349217,25.34756928657808
11,Ada_pm,1,11.269633984960233,13.226756329525543,24.68751121269929,29.348039363169423
12,Ada_pm,2,16.169142315023485,23.544371018208427,25.71207789011191,43.99684143147116
13,Ada_pm,3,16.64970155588258,20.811716786613886,23.856179303872317,29.160248171584687
14,Ada_pm,4,17.624977375744297,24.010960259276953,32.71575045262864,41.364868749162994
15,Ada_pm,5,13.124429187592769,16.896825069887782,33.039201128419776,40.24915144783316
16,Ada_pm,6,15.202714997849231,17.738772423763624,23.82976050697756,28.508817613832463
17,Ada_pm,7,14.737638069243166,20.811209511901872,22.29961176776527,26.092881214952342
