,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,10,20,5,22.78137603895979,28.683775177202012,0.7260890708772887,21.04167136617001,25.567445060149332,0.782373687092706
1,10,50,20,5,11.65279899003448,21.442544598707926,0.8469302455703358,7.981586241175014,14.742507035766566,0.9276431871747773
2,10,100,20,5,11.45929073402934,21.452059850005345,0.8467943642772191,7.5978781988453,14.519493398548567,0.9298157491525061
3,10,200,20,5,11.388629699414354,21.41374705329751,0.8473411178124984,7.34360314843203,14.441087985607847,0.9305716939176404
0,10,400,20,5,11.358125157230331,21.492414334392247,0.8462174173912792,7.186441451637077,14.421890382122678,0.9307561635586425
