,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,200,20,1,19.3848325792036,27.05619089065509,0.7562918516051457,16.967460389041577,23.41276288902487,0.8175087377554794
1,10,200,20,10,9.321037615361217,18.568236837415533,0.8852168668560728,1.2188181629230372,3.119539353227723,0.996760203897009
2,10,200,20,50,9.564077359743107,18.957389599508755,0.8803552043221099,1.0779305622176159,3.085410081339616,0.9968307059901897
0,10,200,20,100,9.547194889032376,18.929444361257566,0.8807076830177194,1.078955324015522,3.0855956221425753,0.9968303248084209
0,10,200,20,2,11.41891360682018,19.132609542027417,0.8781332698965003,7.566100039875585,11.600798071438374,0.9551964448986168
1,10,200,20,5,8.922717998272718,16.852416067507814,0.9054500971288374,2.018840711538671,3.641166285484993,0.9955861479979563
2,10,200,20,8,9.07118455697339,17.871279376070543,0.8936719058654176,1.336304889626325,3.161065226187509,0.9966733764635469
