,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,10,200,20,1.0,19.100411174089782,27.310324144791306,0.7516921492032612,16.81853221309134,23.857177313035407,0.810514990389174
1,10,200,20,10.0,11.49941130073169,22.15565713727403,0.8365796964522274,7.195371729450136,14.42312067633906,0.9307443490290741
2,10,200,20,20.0,11.511450325349214,22.160596850446463,0.8365068176013588,7.16838766558172,14.421277347589044,0.9307620501601439
3,10,200,20,,11.449961557854657,22.090408137835666,0.837540833357581,7.166809101470206,14.421206939595638,0.93076272622969
