,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,1,100,20,10,18.51277782644882,32.95738422099748,0.774384431395625,7.198109332971848,12.626678117873123,0.9668836995862006
1,5,100,20,10,15.1707823681061,29.12577066357999,0.8237949115598651,4.435868490305521,9.4067391665515,0.9816201569500932
2,10,100,20,10,13.643650775782447,27.112069274758255,0.8473176183756382,4.204332663514557,8.867668233387812,0.9836663792460205
3,30,100,20,10,13.75424744760651,27.012981561775728,0.8484316094640774,4.077123532356794,8.28834483925437,0.9857308133724638
4,60,100,20,10,13.713575052900467,26.895817668090757,0.8497435587550857,3.89103320615442,7.89466007630295,0.9870541531504117
